region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight
MYS_03_24,1,111.75,2.25,24,3,True,349.9937875195604,6.145095957227033,910.6502415131448,17.124972179579803,110.56334177199287,1.299397583727198,486.07513560160686,7.19402898122413,1035.7023015873563,11.555417225831242,804.5874847349071,10.871360082982779
MYS_03_25,1,112.25,2.25,25,3,True,373.97224410796906,6.566103191916131,763.5600231082085,14.358909224512226,147.4638183466798,1.7330710719834679,567.6446993418214,8.401278154351703,1135.0982061654813,12.664385648686746,937.3408845352601,12.665086730303567
MYS_03_26,1,112.75,2.25,26,3,True,383.3967646932241,6.731576367190756,657.4115574251971,12.362764668830568,218.98052007726196,2.5735723442450955,638.5008181022831,9.449965763580927,1176.6872055168076,13.128397593791867,973.0017298717136,13.14692605526383
MYS_03_27,1,113.25,2.25,27,3,True,377.28271719442444,6.6242275801353045,595.527367418221,11.199019265914536,326.830964198075,3.8410865514720434,697.5398200072143,10.323757199550888,1156.5091532445667,12.903269376491377,905.1821116047984,12.230566423951652
MYS_03_28,1,113.75,2.25,28,3,True,326.331633914242,5.72964228449234,500.3728845572404,9.409618903983073,460.55813668239057,5.412717455710927,730.2879597273258,10.808437548271199,1145.639685017318,12.781997810138504,784.5188717727715,10.600198621964932
MYS_03_29,1,114.25,2.25,29,3,True,239.98322222555413,4.213560301032916,378.17433374270047,7.111649071342603,614.8823657110092,7.226415622720802,742.3910427577681,10.987566089737117,1142.5902192343244,12.747974665278846,622.2470329075747,8.407627117807682
MYS_03_30,1,114.75,2.25,30,3,True,223.35000982572222,3.921518870816978,287.47787450414273,5.406082795243091,718.3520839303837,8.442445273131087,725.0148733399906,10.730394600766722,1071.8386429317754,11.958593409383056,525.6802929397506,7.102844453215442
MYS_03_31,1,115.25,2.25,31,3,True,258.3945010149913,4.536820538473637,250.90905288125228,4.718398298622908,843.0493738722116,9.907952326833271,678.7557440941525,10.045748355636606,834.5586826417887,9.311241041548037,515.7231425772131,6.968306234506742
MYS_04_03,1,101.25,2.75,3,4,True,477.19307411698054,8.37842651823959,201.88448328557615,3.796480802563353,318.64482805949,3.74487884511965,657.3070962538262,9.728303205967716,809.413135274619,9.030690065891989,63.091115285350355,0.8524694272742834
MYS_04_04,1,101.75,2.75,4,4,True,503.2441871755026,8.835824892855713,260.9702105914126,4.907600517022993,417.97395947622033,4.912246177619321,535.4505826177204,7.924797479298368,690.3793077973124,7.70261969433853,66.95978706248633,0.9047418336067968
MYS_04_05,1,102.25,2.75,5,4,True,571.5946634185199,10.035904009151553,422.1990652446651,7.939543544781594,481.3668356398658,5.657272049598024,356.31905732504816,5.273607796840339,530.3162848019072,5.916783155880549,78.20153519026722,1.0566371764725513
MYS_04_06,1,102.75,2.75,6,4,True,663.9434270826507,11.657338544516412,607.333928217338,11.4210441619772,487.50964658759153,5.7294655413543465,220.66893755929448,3.265953380011266,411.4522289238822,4.590606940263394,82.12001576281642,1.1095825852572656
MYS_04_07,1,103.25,2.75,7,4,True,776.5732560341453,13.6348625213222,810.4235698552118,15.240188224609307,430.21539920398754,5.05611390944318,145.36503690044924,2.15143752832415,342.6678500140802,3.8231738702545317,76.505839032578,1.0337254063153958
MYS_04_08,1,103.75,2.75,8,4,True,772.1839227753629,13.55779579892514,937.4105153787456,17.6282048418859,430.2888841233729,5.056977542227423,119.47667337784308,1.7682835181368435,279.8503466054335,3.1223137294018235,54.973395794810706,0.7427850818070151
MYS_04_09,1,104.25,2.75,9,4,True,638.5256425647898,11.21105998057577,973.0366860741152,18.298162586595243,493.74364142996046,5.80273067340731,152.2901007988886,2.2539301405425087,223.58126166697312,2.494514841262726,15.070126090193902,0.2036233104923704
MYS_04_23,1,111.25,2.75,23,4,True,346.37681126589735,6.08159006956173,1124.7773303171473,21.15167779223079,7.774226538873297,0.0913667316676452,419.49561029241477,6.208635984238892,895.9404902494348,9.996083004238441,733.7502535532785,9.914227313622453
MYS_04_24,1,111.75,2.75,24,4,True,354.3093647344941,6.220867691018474,1052.7738221031132,19.797636450355537,2.495212253323761,0.029325025102277635,450.0050193688929,6.660182580681338,967.4665024257529,10.794104705967303,857.3738411693472,11.584594503297614
MYS_04_25,1,112.25,2.75,25,4,True,376.6795582940088,6.613637479817303,924.6377416635794,17.388010105688565,40.607607155762764,0.4772416044366306,530.0303449559772,7.8445766575205935,1041.8584641110194,11.6241020461333,962.3428249346737,13.002905925869172
MYS_04_26,1,112.75,2.75,26,4,True,374.6540352268587,6.578073895390769,822.2836410682548,15.463219395428213,140.87471970300726,1.655632576372646,612.4869060927911,9.06495360557438,1080.5371996767437,12.055643934709323,948.200145217539,12.811814010247435
MYS_04_27,1,113.25,2.75,27,4,True,350.68838825314765,6.157291568440891,770.8449147524184,14.49590316691876,288.71935787882535,3.393179239975243,681.9118236664036,10.092459092818672,1064.277363089595,11.874231577605961,815.8674624352382,11.023771973094043
MYS_04_28,1,113.75,2.75,28,4,True,304.587142599196,5.3478584059296965,652.954522476518,12.27894917521941,475.7988076777265,5.591833704806947,702.4027709084061,10.395730043161052,1033.7189118839879,11.53328838098006,694.0233087771517,9.377447995211426
MYS_04_29,1,114.25,2.75,29,4,True,241.28012763233946,4.236331014275067,482.3591446156864,9.070866679158845,693.0800920155858,8.145435751677024,684.2298580097475,10.126766558936744,992.4627000181006,11.072989373691037,581.4793702503235,7.856785911727311
MYS_04_30,1,114.75,2.75,30,4,True,229.49824308213113,4.029467882128888,340.7435680610986,6.4077555327072755,847.9282376643345,9.965291257813599,661.6084120746134,9.791963715230018,891.0742564540368,9.941790026673283,526.400719291032,7.112578651704285
MYS_04_31,1,115.25,2.75,31,4,True,270.03093397083495,4.741129870991437,241.36413316725148,4.538904045937063,945.8033279993692,11.115569947387735,635.7173420696423,9.408769648452395,728.9446369424919,8.132896297992936,530.0727622791588,7.162194265073254
MYS_05_03,1,101.25,3.25,3,5,True,497.03268176764226,8.726764966276294,229.04625746714774,4.30726376401577,236.42515161865197,2.7785906777234657,653.7195687052929,9.675206934908417,889.5555264279958,9.924845428715546,37.994792820428934,0.5133749677517092
MYS_05_04,1,101.75,3.25,4,5,True,550.8583999488277,9.671822321534517,308.6704375329839,5.804613466777161,296.668841867391,3.486605687847289,543.416439562907,8.042694079076158,800.6093305571976,8.932465280132,50.71805664598861,0.6852881345641674
MYS_05_05,1,102.25,3.25,5,5,True,725.1048098239609,12.73119350773068,424.5734310484567,7.984194000555386,414.88920286706997,4.875992522293104,349.85687328952986,5.177965917985573,528.9658209475637,5.901715917677615,96.82906011058164,1.3083270606747575
MYS_05_06,1,102.75,3.25,6,5,True,887.8394303601973,15.588443820215764,549.9582409709935,10.342082115862443,437.34074449715223,5.139854653063734,209.27217436912767,3.097278542157788,375.3246425517144,4.1875284366694325,125.61241701519009,1.697239693848644
