region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight
MYS_06_28,1,113.75,3.75,28,6,True,2711.5488527798475,11.593597231836654,1112.6005448641445,8.97193540210487
MYS_06_29,1,114.25,3.75,29,6,True,2742.9808981408823,11.727989232082223,960.7668915201643,7.747559110042104
MYS_06_30,1,114.75,3.75,30,6,True,2683.843092314866,11.475137471281931,823.4679110447357,6.64038943509752
MYS_06_31,1,115.25,3.75,31,6,True,2553.6416290357733,10.918443343235502,685.4761256049021,5.5276330278655985
MYS_06_32,1,115.75,3.75,32,6,True,2540.455108578817,10.862062575132947,638.8619299331704,5.15173931262486
MYS_07_02,1,100.75,4.25,2,7,True,1999.3258296428953,8.548390481817863,812.9025245552231,6.555190874374404
MYS_07_03,1,101.25,4.25,3,7,True,2004.0318399660662,8.568511671299577,808.847311898068,6.522489914295119
MYS_07_04,1,101.75,4.25,4,7,True,1711.1375978581834,7.316202360684865,1229.791000919646,9.916951298714515
MYS_07_05,1,102.25,4.25,5,7,True,1183.228340611876,5.059054274565301,1981.8480431359417,15.981488326499775
MYS_07_06,1,102.75,4.25,6,7,True,775.1660978209248,3.3143284572199274,2455.591259546035,19.8017215219956
MYS_07_07,1,103.25,4.25,7,7,True,539.9345738541454,2.3085639686671575,2571.3751166685165,20.735394700122875
MYS_07_28,1,113.75,4.25,28,7,True,2618.637820009759,11.196343429373874,1099.0984888608796,8.86305573741651
MYS_07_29,1,114.25,4.25,29,7,True,2591.3131761019636,11.079513184679751,1056.6723894010534,8.520934546236152
MYS_07_30,1,114.75,4.25,30,7,True,2539.3235377649185,10.857224389664818,934.4303154636689,7.535182745333105
MYS_07_31,1,115.25,4.25,31,7,True,2432.8623612343804,10.402035098032782,742.6230849949911,5.988462236013429
MYS_07_32,1,115.75,4.25,32,7,True,2415.2653351585936,10.326796611146719,624.9609199890696,5.0396425103913876
MYS_07_33,1,116.25,4.25,33,7,True,2479.402980570089,10.60102586854583,576.3536192360939,4.6476765308316415
MYS_07_34,1,116.75,4.25,34,7,True,2501.106193472224,10.693820917680275,584.315099770665,4.711877370379145
MYS_07_35,1,117.25,4.25,35,7,True,2495.4718712777,10.669730604083034,636.743464022091,5.13465614706872
MYS_07_36,1,117.75,4.25,36,7,True,2310.4938004336973,9.878831613681687,636.3387159721609,5.131392286220491
MYS_07_37,1,118.25,4.25,37,7,True,1912.2411964128837,8.176048245860757,590.7974673943022,4.764150743640049
MYS_07_38,1,118.75,4.25,38,7,True,1672.5193293398881,7.151084682449774,560.5238804726707,4.520026590093054
MYS_08_02,1,100.75,4.75,2,8,True,2285.3336379971333,9.771255904957846,602.3732318151742,4.8574969235367425
MYS_08_03,1,101.25,4.75,3,8,True,2163.5684716347305,9.250632315887698,721.449114137757,5.817716769804483
MYS_08_04,1,101.75,4.75,4,8,True,1738.4912651369204,7.433156698762983,1308.2623566564207,10.549738994025146
MYS_08_05,1,102.25,4.75,5,8,True,1103.240287615793,4.717054436043238,2227.4604150997866,17.96208985090982
MYS_08_06,1,102.75,4.75,6,8,True,629.4061553764127,2.6911119278533553,2766.5727385048795,22.309455095692957
MYS_08_07,1,103.25,4.75,7,8,True,382.27602228954424,1.6344733119117514,2836.4328662637945,22.87280243210138
MYS_08_08,1,103.75,4.75,8,8,True,214.25346514414372,0.9160699346648397,2884.819978891567,23.262992829539808
MYS_08_29,1,114.25,4.75,29,8,True,2425.7467312963936,10.371611250987858,1096.022843974785,8.838253945465901
MYS_08_30,1,114.75,4.75,30,8,True,2414.7725844710462,10.324689788324301,987.7327025619014,7.965009583034075
MYS_08_31,1,115.25,4.75,31,8,True,2398.659328105037,10.255795361358944,777.3863715408082,6.268791023100278
MYS_08_32,1,115.75,4.75,32,8,True,2378.136551575084,10.168047429056955,636.435163537827,5.132170032854573
MYS_08_33,1,116.25,4.75,33,8,True,2349.969603356604,10.047615797312508,533.3782492925175,4.301126059689811
MYS_08_34,1,116.75,4.75,34,8,True,2389.953879285581,10.218574026684605,516.7238618373443,4.166826207780531
MYS_08_35,1,117.25,4.75,35,8,True,2513.4865739175634,10.746754924129403,604.5658670646377,4.875178185611773
MYS_08_36,1,117.75,4.75,36,8,True,2306.005677724706,9.859642032434879,640.808566594372,5.167436858753423
MYS_08_37,1,118.25,4.75,37,8,True,1888.928357407098,8.076371020614882,643.3791659641083,5.188165997882852
MYS_08_38,1,118.75,4.75,38,8,True,1599.7742010633579,6.8400529571862725,657.5423786165211,5.302377184988856
MYS_09_01,1,100.25,5.25,1,9,True,2375.85712052974,10.158301410492557,382.40330848743974,3.083674367352952
MYS_09_02,1,100.75,5.25,2,9,True,2272.9571464557093,9.718338526048223,519.7315076979352,4.191079660197206
MYS_09_03,1,101.25,5.25,3,9,True,2083.2005548795833,8.907008318014405,761.1344108407377,6.137736313275034
MYS_09_04,1,101.75,5.25,4,9,True,1618.6818943558146,6.920895380656207,1389.9708721933343,11.208630926608718
MYS_09_05,1,102.25,5.25,5,9,True,966.7376737550256,4.13341887861183,2276.077419544068,18.354134080378717
MYS_09_06,1,102.75,5.25,6,9,True,505.1674472667543,2.159912373417726,2787.964152383624,22.48195400769306
MYS_09_07,1,103.25,5.25,7,9,True,346.4098904097131,1.481122769526204,2829.928863318508,22.820354593072743
MYS_09_31,1,115.25,5.25,31,9,True,2457.1773859951886,10.5059973052672,746.2806207898435,6.017956356822357
MYS_09_32,1,115.75,5.25,32,9,True,2431.572970712248,10.396522132860563,679.1939423565708,5.476973927842332
MYS_09_33,1,116.25,5.25,33,9,True,2316.626280503724,9.9050518692715,571.5059875684609,4.608585557547504
MYS_09_34,1,116.75,5.25,34,9,True,2374.0797370303508,10.150701964737667,570.3136383266399,4.598970534057044
MYS_09_35,1,117.25,5.25,35,9,True,2643.6797010726527,11.30341340993982,700.0665731410788,5.645289408124124
MYS_09_36,1,117.75,5.25,36,9,True,2461.1731414279043,10.523081703018816,763.6628512431096,6.158125485348396
MYS_09_37,1,118.25,5.25,37,9,True,1907.1635874587105,8.154338235710986,774.2706655128858,6.24366618081658
MYS_09_38,1,118.75,5.25,38,9,True,1511.4845607403163,6.462558548925957,742.5269278514277,5.987686831323503
MYS_09_39,1,119.25,5.25,39,9,True,1303.2076857411637,5.572042341198308,653.6962516356351,5.271362277635009
MYS_10_01,1,100.25,5.75,1,10,True,2291.0378947082754,9.795645233126573,327.32323883676884,2.639512418007872
MYS_10_02,1,100.75,5.75,2,10,True,2148.0292804186292,9.184192382827566,524.4962957015327,4.229502587788187
MYS_10_03,1,101.25,5.75,3,10,True,1952.2357618192063,8.347050469297702,824.807935466917,6.651195301235686
MYS_10_04,1,101.75,5.75,4,10,True,1459.6097553023185,6.240760737644971,1478.724084833362,11.924330819271306
MYS_10_05,1,102.25,5.75,5,10,True,795.082877572887,3.3994853675823298,2264.8358850592986,18.263483108038773
MYS_10_06,1,102.75,5.75,6,10,True,422.3415766190252,1.8057790581792648,2758.1215699952136,22.24130544549637
MYS_10_31,1,115.25,5.75,31,10,True,2442.892685941104,10.444921120401538,736.8609953351007,5.941997135444936
MYS_10_32,1,115.75,5.75,32,10,True,2343.523537486298,10.020054762830833,695.4807819504152,5.608309898703517
MYS_10_33,1,116.25,5.75,33,10,True,2178.759676097481,9.315584384085568,630.2196219692058,5.082048326820737
MYS_10_34,1,116.75,5.75,34,10,True,2229.986775433921,9.534612839520957,664.0937712212037,5.3552071710196625
MYS_10_35,1,117.25,5.75,35,10,True,2517.077629523063,10.762108972530415,844.1773107511689,6.807388631026527
MYS_10_36,1,117.75,5.75,36,10,True,2414.4722400835903,10.323405624900346,916.8358419228551,7.393302102931029
MYS_10_37,1,118.25,5.75,37,10,True,1967.533816987479,8.412459392271575,878.5414266874901,7.084498533366871
MYS_10_38,1,118.75,5.75,38,10,True,1537.535388906297,6.57394242054698,807.1374853432262,6.508701988817591
MYS_11_00,1,99.75,6.25,0,11,True,2218.2826247067287,9.484570145533473,236.2274720933068,1.9049223277905851
MYS_11_01,1,100.25,6.25,1,11,True,2113.211756364413,9.03532530632974,360.30948546666843,2.905511275627968
MYS_11_02,1,100.75,6.25,2,11,True,1938.2128128400336,8.287093436880436,601.4385754363816,4.849959917832043
MYS_11_03,1,101.25,6.25,3,11,True,1763.64541078465,7.5407066818849025,833.6155175506435,6.7222190463423175
MYS_11_04,1,101.75,6.25,4,11,True,1057.0525608733365,4.519572505980572,1740.891023087355,14.038427244479918
MYS_11_05,1,102.25,6.25,5,11,True,680.704395059989,2.9104445535531993,2184.1579491841903,17.61290170001419
MYS_11_32,1,115.75,6.25,32,11,True,2036.158110124493,8.705871924424331,693.5251469960358,5.592539790948507
MYS_11_33,1,116.25,6.25,33,11,True,1956.4378862982182,8.365017226075018,701.8455687872797,5.6596351084673575
MYS_11_34,1,116.75,6.25,34,11,True,1922.5475744596556,8.22011457196468,808.5317771682838,6.519945463615302
MYS_11_35,1,117.25,6.25,35,11,True,2069.331684991678,8.847710071782815,1047.1391599169547,8.444059229664004
MYS_11_36,1,117.75,6.25,36,11,True,2128.9816878061965,9.102751800719574,1112.0905066578998,8.967822488570757
MYS_11_37,1,118.25,6.25,37,11,True,2112.348318570724,9.031633560188228,1075.1271430738036,8.669752429328138
MYS_12_01,1,100.25,6.75,1,12,True,2044.510097714804,8.741581987367912,370.41831628220285,2.9870282023331014
MYS_12_02,1,100.75,6.75,2,12,True,1817.7189592620232,7.771905519147289,620.9918539228713,5.00763623058414
MYS_12_33,1,116.25,6.75,33,12,True,1573.276539128134,6.726758586794452,880.1930516153897,7.097817124868577
MYS_12_34,1,116.75,6.75,34,12,True,1595.7736905077354,6.82294822825762,977.4020547480781,7.881703939085431
MYS_12_35,1,117.25,6.75,35,12,True,1671.974745390424,7.148756239441072,1154.2466992115073,9.307767168748713
MYS_12_36,1,117.75,6.75,36,12,True,1814.3970392089636,7.757702196536283,1267.5934329057682,10.22178754869439
MYS_13_34,1,116.75,7.25,34,13,True,1239.2433943469528,5.298554282561982,1150.8469757512594,9.280352029136239
MYS_13_35,1,117.25,7.25,35,13,True,1196.8070042887387,5.117111704529996,1209.678262109485,9.754763535822304
