region_id,monthly_records,aet_exceeds_pet_records,maximum_aet_minus_pet_mm,mean_aet_minus_pet_mm,aet_exceeds_pet_percentage
MYS_07_35,360,196,50.88528958886067,1.7036203939537276,54.44444444444444
MYS_07_36,360,125,44.30907388018751,-6.273833259988262,34.72222222222222
MYS_07_37,360,65,33.85437003875364,-15.981693626121018,18.055555555555557
MYS_07_38,360,36,27.640802736635564,-20.91251018351488,10.0
MYS_08_02,360,337,56.13423770675671,20.25140157548263,93.61111111111111
MYS_08_03,360,338,60.45285540383959,20.041522289928725,93.88888888888889
MYS_08_04,360,346,73.51479693215991,27.021795446002297,96.11111111111111
MYS_08_05,360,285,61.89781595865887,17.28860573501183,79.16666666666667
MYS_08_06,360,238,60.866582420980805,11.767204596012593,66.11111111111111
MYS_08_07,360,162,56.42857259700051,1.1283478845347843,45.0
MYS_08_08,360,97,45.509184602019076,-12.879581824353595,26.944444444444443
MYS_08_29,360,286,41.03660338265554,9.403212165832521,79.44444444444444
MYS_08_30,360,320,42.372444316905046,12.444260263386024,88.88888888888889
MYS_08_31,360,318,43.17235489686334,12.266659707824386,88.33333333333333
MYS_08_32,360,295,45.91844157869852,10.77805716196696,81.94444444444444
MYS_08_33,360,309,51.88272855243984,13.40389992749249,85.83333333333333
MYS_08_34,360,258,50.62457521655891,8.289769986443714,71.66666666666667
MYS_08_35,360,210,48.46609148297995,2.9549197970328085,58.333333333333336
MYS_08_36,360,193,51.63197213184988,0.11654126379225135,53.611111111111114
MYS_08_37,360,186,54.54640121076574,-0.12049401590506012,51.666666666666664
MYS_08_38,360,193,55.68000281611573,1.380401488463754,53.611111111111114
MYS_09_01,360,0,-15.313039305582237,-48.959392496830546,0.0
MYS_09_02,360,308,47.01681740093521,15.56022362600969,85.55555555555556
MYS_09_03,360,330,55.59290822347005,18.928554863433565,91.66666666666667
MYS_09_04,360,336,70.30996606911825,23.53423089515379,93.33333333333333
MYS_09_05,360,227,60.28464452172541,9.730251895326802,63.05555555555556
MYS_09_06,360,176,60.048242938249544,2.6710707412409516,48.888888888888886
MYS_09_07,360,180,70.28128422034827,3.903353398439127,50.0
MYS_09_31,360,284,42.610036211503,9.446486247908988,78.88888888888889
MYS_09_32,360,254,41.23259483465078,5.936950214336371,70.55555555555556
MYS_09_33,360,266,41.59233076361161,7.3117150167205,73.88888888888889
MYS_09_34,360,252,48.30002468447141,7.491567563272896,70.0
MYS_09_35,360,225,52.37838640969896,5.283093588020016,62.5
MYS_09_36,360,209,56.276621573311914,2.7170547615199268,58.05555555555556
MYS_09_37,360,206,58.33457186267634,2.6062679378512223,57.22222222222222
MYS_09_38,360,207,55.79262600853329,3.083111592474444,57.5
MYS_09_39,360,203,54.268943786621094,3.25651308311987,56.388888888888886
MYS_10_01,360,76,26.729656196466266,-18.364213053172588,21.11111111111111
MYS_10_02,360,237,39.413473140171575,6.013493653675866,65.83333333333333
MYS_10_03,360,297,51.697284247931535,14.757481392620953,82.5
MYS_10_04,360,299,66.07120097478234,17.80709810663153,83.05555555555556
