target,depth_label,configuration,model_family,seed,test_fold,validation_fold,selected_ridge_alpha,test_rmse_mm,test_r_squared,test_p_violation,best_epoch,training_seconds
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260809,3,4,,7.0235802404983945,0.8630484639844191,0.13802083333333334,21.0,0.8096165657043457
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260810,3,4,,7.357071976095414,0.8497343132280362,0.04774305555555555,207.0,1.5508801937103271
SM_10_40cm_mm,10–40 cm,Mean,Mean,-1,4,0,,23.39551891086438,-0.3428370635666502,,,
SM_10_40cm_mm,10–40 cm,Ridge,Ridge,-1,4,0,10.0,9.083414268719537,0.797578705291963,0.0,,
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260806,4,0,,9.470594343579453,0.7799545338643383,0.07096354166666667,33.0,0.41401243209838867
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260807,4,0,,9.026634884724455,0.8001014207057138,0.09505208333333333,28.0,0.4742755889892578
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260808,4,0,,9.530313721628778,0.7771706726012542,0.009765625,33.0,0.49279141426086426
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260809,4,0,,9.338387915819595,0.7860551798305593,0.07877604166666667,28.0,0.4940643310546875
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260810,4,0,,9.987094611393445,0.7552986961512351,0.04296875,73.0,0.544715404510498
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260806,4,0,,9.350172396835982,0.785514868266365,0.060546875,33.0,0.906893253326416
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260807,4,0,,8.97479892471504,0.8023906863948096,0.08463541666666667,28.0,0.9121899604797363
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260808,4,0,,9.503835082161332,0.7784071525602446,0.0,33.0,0.9006338119506836
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260809,4,0,,9.303756546801345,0.7876390642413471,0.061848958333333336,28.0,0.9367368221282959
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260810,4,0,,9.907637919726955,0.7591768634351757,0.0234375,74.0,1.0577507019042969
SM_40_100cm_mm,40–100 cm,Mean,Mean,-1,0,1,,62.72353117347027,-6.4748051193405765,,,
SM_40_100cm_mm,40–100 cm,Ridge,Ridge,-1,0,1,10.0,20.281728875099212,0.21846430211028445,0.0,,
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260806,0,1,,21.912784442733493,0.08770770390297677,0.058159722222222224,102.0,0.6649696826934814
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260807,0,1,,21.840469663513943,0.09371911318709181,0.022569444444444444,87.0,0.5644059181213379
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260808,0,1,,22.13710849952841,0.06893358422828177,0.03211805555555555,98.0,0.5844688415527344
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260809,0,1,,21.909606148368738,0.08797232779802433,0.10069444444444445,82.0,0.5625324249267578
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260810,0,1,,24.304808796216445,-0.12233702981019134,0.03819444444444445,71.0,0.5546457767486572
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260806,0,1,,22.066308882891814,0.0748795941084438,0.042534722222222224,101.0,1.1099863052368164
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260807,0,1,,21.82543352101147,0.09496654769796142,0.022569444444444444,87.0,1.050691843032837
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260808,0,1,,22.189269024423577,0.06454076766351324,0.024305555555555556,98.0,1.1275930404663086
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260809,0,1,,22.139039862845397,0.06877111441296868,0.0703125,80.0,1.0648257732391357
