region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_04_26,1,112.75,2.75,112.75,112.75,2.75,2.75,26,4,112.5,113.0,2.5,3.0,112.75,2.75,0,True,True
MYS_04_27,1,113.25,2.75,113.25,113.25,2.75,2.75,27,4,113.0,113.5,2.5,3.0,113.25,2.75,0,True,True
MYS_04_28,1,113.75,2.75,113.75,113.75,2.75,2.75,28,4,113.5,114.0,2.5,3.0,113.75,2.75,0,True,True
MYS_04_29,1,114.25,2.75,114.25,114.25,2.75,2.75,29,4,114.0,114.5,2.5,3.0,114.25,2.75,0,True,True
MYS_04_30,1,114.75,2.75,114.75,114.75,2.75,2.75,30,4,114.5,115.0,2.5,3.0,114.75,2.75,0,True,True
MYS_04_31,1,115.25,2.75,115.25,115.25,2.75,2.75,31,4,115.0,115.5,2.5,3.0,115.25,2.75,0,True,True
MYS_03_04,1,101.75,2.25,101.75,101.75,2.25,2.25,4,3,101.5,102.0,2.0,2.5,101.75,2.25,0,True,True
MYS_03_05,1,102.25,2.25,102.25,102.25,2.25,2.25,5,3,102.0,102.5,2.0,2.5,102.25,2.25,0,True,True
MYS_03_06,1,102.75,2.25,102.75,102.75,2.25,2.25,6,3,102.5,103.0,2.0,2.5,102.75,2.25,0,True,True
MYS_03_07,1,103.25,2.25,103.25,103.25,2.25,2.25,7,3,103.0,103.5,2.0,2.5,103.25,2.25,0,True,True
MYS_03_08,1,103.75,2.25,103.75,103.75,2.25,2.25,8,3,103.5,104.0,2.0,2.5,103.75,2.25,0,True,True
MYS_03_09,1,104.25,2.25,104.25,104.25,2.25,2.25,9,3,104.0,104.5,2.0,2.5,104.25,2.25,0,True,True
MYS_03_23,1,111.25,2.25,111.25,111.25,2.25,2.25,23,3,111.0,111.5,2.0,2.5,111.25,2.25,0,True,True
MYS_03_24,1,111.75,2.25,111.75,111.75,2.25,2.25,24,3,111.5,112.0,2.0,2.5,111.75,2.25,0,True,True
MYS_03_25,1,112.25,2.25,112.25,112.25,2.25,2.25,25,3,112.0,112.5,2.0,2.5,112.25,2.25,0,True,True
MYS_03_26,1,112.75,2.25,112.75,112.75,2.25,2.25,26,3,112.5,113.0,2.0,2.5,112.75,2.25,0,True,True
MYS_03_27,1,113.25,2.25,113.25,113.25,2.25,2.25,27,3,113.0,113.5,2.0,2.5,113.25,2.25,0,True,True
MYS_03_28,1,113.75,2.25,113.75,113.75,2.25,2.25,28,3,113.5,114.0,2.0,2.5,113.75,2.25,0,True,True
MYS_03_29,1,114.25,2.25,114.25,114.25,2.25,2.25,29,3,114.0,114.5,2.0,2.5,114.25,2.25,0,True,True
MYS_03_30,1,114.75,2.25,114.75,114.75,2.25,2.25,30,3,114.5,115.0,2.0,2.5,114.75,2.25,0,True,True
MYS_03_31,1,115.25,2.25,115.25,115.25,2.25,2.25,31,3,115.0,115.5,2.0,2.5,115.25,2.25,0,True,True
MYS_02_06,1,102.75,1.75,102.75,102.75,1.75,1.75,6,2,102.5,103.0,1.5,2.0,102.75,1.75,0,True,True
MYS_02_07,1,103.25,1.75,103.25,103.25,1.75,1.75,7,2,103.0,103.5,1.5,2.0,103.25,1.75,0,True,True
MYS_02_08,1,103.75,1.75,103.75,103.75,1.75,1.75,8,2,103.5,104.0,1.5,2.0,103.75,1.75,0,True,True
MYS_02_09,1,104.25,1.75,104.25,104.25,1.75,1.75,9,2,104.0,104.5,1.5,2.0,104.25,1.75,0,True,True
MYS_02_20,1,109.75,1.75,109.75,109.75,1.75,1.75,20,2,109.5,110.0,1.5,2.0,109.75,1.75,0,True,True
MYS_02_21,1,110.25,1.75,110.25,110.25,1.75,1.75,21,2,110.0,110.5,1.5,2.0,110.25,1.75,0,True,True
MYS_02_22,1,110.75,1.75,110.75,110.75,1.75,1.75,22,2,110.5,111.0,1.5,2.0,110.75,1.75,0,True,True
