model_family,lambda_precipitation,lambda_pet,seed,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_mae_mm,core_test_r_squared,validation_precipitation_violation_fraction,test_precipitation_violation_fraction,validation_pet_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET,1.0,1.0,20260810,,558,758,3.125962257385254,23.28465265273681,23.368726565414665,15.700278542258523,0.9636682924104342,0.054852109966856064,17.499830160054,12.982677591258081,0.9801795890689158,0.07481060606060606,0.052083333333333336,0.18181818181818182,0.10606060606060606,0.0028892233967781067,0.0015970023814588785
PINN_P,10.0,0.0,20260806,,847,1047,4.44688606262207,23.688961336445125,23.14011501804587,16.70625721324574,0.9643756669135831,-0.07632908676609848,17.281424128736678,14.144814326845367,0.9806712377219553,0.032196969696969696,0.026515151515151516,0.36363636363636365,0.30303030303030304,0.000708780949935317,0.01989871822297573
PINN_P,10.0,0.0,20260807,,455,655,2.576125383377075,23.776008527212046,24.553683155897705,18.432967214873344,0.9598903371995626,-2.0781698515920928,19.623592342693364,16.05333788641568,0.9750769026725503,0.02556818181818182,0.022727272727272728,0.5757575757575758,0.5909090909090909,0.0005745588568970561,0.031043561175465584
PINN_P,10.0,0.0,20260808,,469,669,2.7312004566192627,23.670420421390585,24.580127120588894,18.42533828272964,0.9598038956130084,-1.0080732865767046,20.571695531143842,16.428265801791486,0.9726104332414856,0.03314393939393939,0.023674242424242424,0.4393939393939394,0.5,0.0005905195721425116,0.02906537801027298
PINN_P,10.0,0.0,20260809,,471,671,2.7622334957122803,25.29676030139145,22.673623024880992,17.080492886629973,0.965797522990324,-1.153715653852983,19.479480800052382,15.241864960769128,0.9754416185281706,0.04071969696969697,0.030303030303030304,0.4090909090909091,0.3787878787878788,0.0008911860059015453,0.024938533082604408
PINN_P,10.0,0.0,20260810,,534,734,3.0732581615448,23.657434122612727,23.61486719183394,15.841529614997633,0.9628989046902384,0.5647009647253788,18.011790766477283,13.089881633890085,0.9790029262575297,0.03314393939393939,0.028409090909090908,0.3939393939393939,0.36363636363636365,0.0011111589847132564,0.028204897418618202
PINN_P_PET,10.0,10.0,20260806,,723,923,3.904771566390991,24.98325733835108,23.826157719096763,17.00662138967803,0.9622320214455465,0.49543715968276514,18.004435455509327,14.352217049434268,0.9790200715236685,0.03787878787878788,0.022727272727272728,0.015151515151515152,0.015151515151515152,0.0006021413719281554,4.876021193922497e-05
PINN_P_PET,10.0,10.0,20260807,,504,704,2.852167844772339,23.908588131068566,24.367798975170516,18.041391083688445,0.9604953405139652,-1.9936190518465908,18.570533166455238,15.268465239426185,0.9776800235455978,0.02556818181818182,0.02462121212121212,0.030303030303030304,0.045454545454545456,0.000691296358127147,0.0002377049531787634
PINN_P_PET,10.0,10.0,20260808,,519,719,3.0020365715026855,24.115513769190073,23.69348144629071,17.50337774103338,0.9626514732944697,-0.9448098847360322,19.084488382394124,15.381506031957166,0.9764274790430378,0.035037878787878785,0.03314393939393939,0.06060606060606061,0.030303030303030304,0.0006159521290101111,0.0005471233162097633
PINN_P_PET,10.0,10.0,20260809,,500,700,2.8775477409362793,24.959791548443114,22.28485904878435,16.59610540216619,0.9669603453422442,-0.7638919714725378,18.178137079038777,14.31232426084321,0.9786133020946215,0.041666666666666664,0.03787878787878788,0.06060606060606061,0.06060606060606061,0.0011527207680046558,0.0007650887710042298
PINN_P_PET,10.0,10.0,20260810,,502,702,2.9373981952667236,23.621409671382107,23.603239800740333,16.02370291045218,0.9629354310648234,0.29719959605823865,18.007088779139195,13.266676277949893,0.9790138874206544,0.038825757575757576,0.03314393939393939,0.06060606060606061,0.030303030303030304,0.00124783453065902,0.00021064501197542995
