configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260809,2,3,21,6,6,72,,106,306,1.262634515762329,28.574488528795285,64.52241794147456,57.53485785590278,0.6040611589058821,56.46160888671875,64.52241794147456,0.6040611589058821,0.0,0.08333333333333333,0.0,0.0006764087011106312
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260810,2,3,21,6,6,72,,96,296,1.2028896808624268,31.10787920584277,72.38037797020961,63.39874267578125,0.5017485939118423,63.150858561197914,72.38037797020961,0.5017485939118423,0.001736111111111111,0.125,1.3530097930924967e-05,0.0008356618927791715
Mean,Mean,0.0,0.0,-1,3,4,19,8,6,72,,0,0,0.0,,132.90723249189637,114.54872639973958,-0.4408545986036292,73.51673719618056,132.90723249189637,-0.4408545986036292,,,,
Ridge,Ridge,0.0,0.0,-1,3,4,19,8,6,72,100.0,0,0,0.0,57.65659689935696,32.30924411335771,27.532166375054253,0.9148515939440801,-18.339844597710503,32.30924411335771,0.9148515939440801,0.0,0.0,,
MLP,MLP,0.0,0.0,20260806,3,4,19,8,6,72,,24,224,0.5069265365600586,48.7537621795022,43.351413075879556,35.05951139662001,0.846704486791682,-19.808082156711155,43.351413075879556,0.846704486791682,0.1032986111111111,0.0,0.0033165588974952698,0.0
MLP,MLP,0.0,0.0,20260807,3,4,19,8,6,72,,15,215,0.396712064743042,45.45435939276546,42.374633935309646,34.717407650417755,0.8535346660488742,-12.770662519666883,42.374633935309646,0.8535346660488742,0.06944444444444445,0.0,0.0021116058342158794,0.0
MLP,MLP,0.0,0.0,20260808,3,4,19,8,6,72,,19,219,0.4512627124786377,44.84749670905986,47.940540728266775,39.08671951293945,0.8125312931602329,-27.10735532972548,47.940540728266775,0.8125312931602329,0.16927083333333334,0.0,0.00791393592953682,0.0
MLP,MLP,0.0,0.0,20260809,3,4,19,8,6,72,,18,218,0.45475101470947266,50.686090001931525,50.50831644838635,41.85649490356445,0.7919111966155212,-24.87922371758355,50.50831644838635,0.7919111966155212,0.1328125,0.0,0.006723848171532154,0.0
MLP,MLP,0.0,0.0,20260810,3,4,19,8,6,72,,18,218,0.5075333118438721,49.36552076280497,39.21636364788983,32.99568600124783,0.8745537829170316,-18.333123948838974,39.21636364788983,0.8745537829170316,0.04513888888888889,0.0,0.0007365673081949353,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260806,3,4,19,8,6,72,,25,225,0.9522218704223633,48.47118030369022,41.07051631078398,33.39612155490451,0.8624111463258647,-19.74788496229384,41.07051631078398,0.8624111463258647,0.078125,0.0,0.0021769634913653135,0.0
