region_id,native_cell_count,longitude_mean,latitude_mean,small_region_lt_4_cells,mean_observed_precipitation_mm,rmse_mm,normalized_rmse_by_mean,mae_mm,maximum_absolute_error_mm,mean_bias_mm,r_squared
MYS_06_30,1,114.75,3.75,True,292.66781318395437,21.432080540519955,0.07323005665487707,15.875770532969549,44.666266914240396,-0.3069783578328232,0.7205821480954272
MYS_06_07,1,103.25,3.75,True,238.81773961283773,17.354333194655332,0.0726676888525514,13.366488210006674,38.89390306521386,-0.024080751733276173,0.9837321180867593
MYS_07_32,1,115.75,4.25,True,254.24820858436343,18.29307954881668,0.07194968904863201,13.633868796855571,40.15694961828871,-0.6118919930521258,0.7805147407112073
MYS_05_31,1,115.25,3.25,True,276.0277664178199,19.767484172206796,0.07161411487236032,13.931205272450105,52.16325130063353,-1.0910695391067928,0.5881071326781988
MYS_07_28,1,113.75,4.25,True,309.7736113829588,21.941724946486854,0.07083148512402276,15.745252898596528,50.919851302892454,0.16191740439668934,0.8399600679688981
MYS_07_31,1,115.25,4.25,True,265.3825399929727,18.657714727719604,0.07030498211454929,13.934691359055583,35.12388730898641,-0.4846279411686017,0.7890619987003965
MYS_03_05,1,102.25,2.25,True,199.63172348588785,13.91963919233049,0.06972658928787179,11.63948512715646,23.309264159429773,-0.6134691368182269,0.9263977947716618
MYS_11_32,1,115.75,6.25,True,228.30126638231854,15.888441915572548,0.06959419090109381,13.53490495170982,24.543627303814986,0.21804843128427365,0.9027105813109225
MYS_10_05,1,102.25,5.75,True,255.4203517254601,17.77187435432288,0.0695789283597302,14.140921059657435,34.35306077985092,-0.18366209950851342,0.9865278764476514
MYS_09_03,1,101.25,5.25,True,236.24083196614785,16.264867831992202,0.06884867318077714,13.823617284314158,33.425624962841084,0.8573049162471579,0.9502405993855452
MYS_07_34,1,116.75,4.25,True,257.9442136508498,17.742030492922627,0.0687824326113321,15.435502353830683,30.888271757165228,-0.4316705187528929,0.7854953389262681
MYS_08_37,1,118.25,4.75,True,211.8586236899955,14.554805012585094,0.0687005549223362,10.832206351822107,32.08441769373084,-0.37962740073668755,0.7366874162159447
MYS_07_02,1,100.75,4.25,True,232.6668971188532,15.957018683113052,0.0685831069254417,12.565795623610695,39.11149264127744,0.890631834263902,0.9407400012678675
MYS_08_03,1,101.25,4.75,True,239.04178796816686,16.251147149944778,0.06798454482824125,13.720790408684303,36.96127486268597,1.0586684934887753,0.9423644323868545
MYS_08_33,1,116.25,4.75,True,241.13467964949427,16.330306390748333,0.06772276146461201,12.958767210472226,34.41209307918541,-0.45072346798901225,0.8235364081075904
MYS_08_34,1,116.75,4.75,True,243.1697361319042,16.380277104889345,0.06736149557691702,13.816948938022492,31.66312187091063,-0.4476977928464265,0.7611804857923736
MYS_11_02,1,100.75,6.25,True,211.4377356997379,14.113708168134876,0.06675113182340218,11.814129962218855,27.076213898864353,0.5485253819063912,0.9669941118347248
MYS_05_30,1,114.75,3.25,True,293.43219282345325,19.53034074140732,0.06655827553712883,13.835089429627102,42.96976191798939,-0.465983160595871,0.7076805745882464
MYS_11_33,1,116.25,6.25,True,222.24289513577727,14.399937301523792,0.06479369022225112,12.35062518608028,22.426090941729854,0.233463379626239,0.8819740615317233
MYS_05_27,1,113.25,3.25,True,326.5515657655179,21.08118198061493,0.0645569771842784,17.359610523014794,46.833975932189475,0.36855692809482815,0.9141367332782683
