configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
PINN_P_PET_lambda1,SLR_05_03,3,21,True,33.75746702433803,28.336709086100257,0.9012794896699615,-17.07679290771485
PINN_P_PET_lambda1,SLR_06_00,4,4,True,45.53490115441303,44.279512023925776,0.7091571024761741,-44.279512023925776
PINN_P_PET_lambda1,SLR_06_01,4,25,True,24.97882302625347,20.034872945149743,0.9404695600521447,-19.48766835530599
PINN_P_PET_lambda1,SLR_06_02,4,25,True,13.282061566873146,10.847336324055982,0.9862829009352739,-7.51346384684246
PINN_P_PET_lambda1,SLR_06_03,3,6,True,43.83625642173102,34.86405639648438,0.8600290044189037,21.939597574869794
PINN_P_PET_lambda1,SLR_07_00,4,1,False,100.46378931667229,99.65165252685547,-0.5615432293963263,-99.65165252685547
PINN_P_PET_lambda1,SLR_07_01,4,19,True,43.52703151863125,36.8670883178711,0.8503811226670357,-34.68561248779299
PINN_P_PET_lambda1,SLR_07_02,4,14,True,28.873243341887942,24.481805419921866,0.944166466666956,-13.253356933593764
PINN_P_PET_lambda1,SLR_08_00,4,1,False,72.75491229272214,61.80745646158855,0.6376761379324589,-52.2960184733073
PINN_P_PET_lambda1,SLR_08_01,4,8,True,98.83315899805866,97.04323527018227,-0.019506526990198614,-97.04323527018227
PINN_P_PET_lambda10,SLR_00_02,0,1,False,58.614811670474445,47.95777282714844,0.08473017765355773,-45.94544982910156
PINN_P_PET_lambda10,SLR_01_01,0,22,True,84.24410458199196,80.02334798177084,-2.519040977444811,-80.02334798177084
PINN_P_PET_lambda10,SLR_01_02,0,24,True,32.148499115423085,27.667935180664063,0.5593775078625559,-16.5167714436849
PINN_P_PET_lambda10,SLR_01_03,1,16,True,40.017115907237944,36.876959737141924,0.6316853805754368,36.876959737141924
PINN_P_PET_lambda10,SLR_01_04,1,2,False,78.66019728521458,67.68490193684896,0.29414337952785674,64.53633015950521
PINN_P_PET_lambda10,SLR_02_00,0,4,True,64.1172716706959,62.007039388020836,-0.21674306384554343,-62.007039388020836
PINN_P_PET_lambda10,SLR_02_01,0,25,True,72.77560316355463,69.92626342773437,-1.034470275556712,-69.92626342773437
PINN_P_PET_lambda10,SLR_02_02,0,25,True,58.492756064740874,56.99314168294273,-0.6302277590842968,-56.99314168294273
PINN_P_PET_lambda10,SLR_02_03,1,25,True,22.049663484565777,20.97040405273437,0.928664354080481,-7.7558430989583185
PINN_P_PET_lambda10,SLR_02_04,1,15,True,59.748466205770505,46.80371449788411,0.6792245584446222,37.27152455647786
PINN_P_PET_lambda10,SLR_03_00,2,9,True,44.34296133710204,37.01973164876301,0.5116216082377779,36.70157775878905
PINN_P_PET_lambda10,SLR_03_01,2,25,True,19.897955237872587,15.164183553059909,0.8936412525971636,12.328968302408867
PINN_P_PET_lambda10,SLR_03_02,1,25,True,29.427414373264945,20.190647379557287,0.7185620258255119,-17.73919881184894
PINN_P_PET_lambda10,SLR_03_03,1,25,True,18.22437988196682,15.91553039550781,0.9584101552884959,-4.936408487955731
PINN_P_PET_lambda10,SLR_03_04,1,19,True,34.691715409390845,29.488438924153638,0.8830616322957777,9.238082885742179
PINN_P_PET_lambda10,SLR_04_00,2,10,True,81.211279968181,77.1693084716797,-0.5791754077409366,77.1693084716797
PINN_P_PET_lambda10,SLR_04_01,2,25,True,76.77928859237633,71.35103149414063,-0.21310392710998527,71.35103149414063
PINN_P_PET_lambda10,SLR_04_02,3,25,True,32.28192565221874,25.79295552571614,0.8643323247422321,-8.926162719726562
PINN_P_PET_lambda10,SLR_04_03,3,25,True,49.036783568330605,45.996011352539064,0.7210468144624775,-45.996011352539064
