region_id,replication_split,month_count
MYS_03_27,train,8
MYS_03_27,validation,2
MYS_03_28,test,2
MYS_03_28,train,8
MYS_03_28,validation,2
MYS_03_29,test,2
MYS_03_29,train,8
MYS_03_29,validation,2
MYS_03_30,test,2
MYS_03_30,train,8
MYS_03_30,validation,2
MYS_03_31,test,2
MYS_03_31,train,8
MYS_03_31,validation,2
MYS_04_03,test,2
MYS_04_03,train,8
MYS_04_03,validation,2
MYS_04_04,test,2
MYS_04_04,train,8
MYS_04_04,validation,2
MYS_04_05,test,2
MYS_04_05,train,8
MYS_04_05,validation,2
MYS_04_06,test,2
