component_count,run_index,random_seed,rss,relative_frobenius_error,explained_variance,iterations,converged,convergence_warning,mean_component_stability,minimum_component_stability
2,54,20280859,128702.5310552159,0.10144542657598388,0.9650271180152974,680,True,False,0.9852942548229641,0.970588513036085
2,55,20280860,128702.49936811905,0.10144541408784076,0.965027126625766,640,True,False,0.9881829822299071,0.9763659677458978
2,56,20280861,128702.5303298367,0.10144542629010604,0.9650271182124077,580,True,False,0.9911034991884627,0.9822070018020049
2,57,20280862,128702.51956376909,0.10144542204711121,0.9650271211379167,590,True,False,0.990962762824525,0.9819255290333345
2,58,20280863,128702.44832893583,0.10144539397287945,0.9650271404948586,340,True,False,0.9997647685673368,0.9995295401220303
2,59,20280864,128702.4744096472,0.10144540425150252,0.9650271334078369,440,True,False,0.9987509805372763,0.9975019643160181
2,60,20280865,128702.49081727049,0.10144541071788139,0.9650271289493241,560,True,False,0.9952111800079697,0.9904223633210371
2,61,20280866,128702.49099078095,0.10144541078626328,0.9650271289021753,700,True,False,0.9940553298200288,0.9881106629350526
2,62,20280867,128702.50887206737,0.10144541783342441,0.965027124043218,650,True,False,0.9923489076467726,0.9846978186458698
2,63,20280868,128702.43755462702,0.10144538972663535,0.965027143422607,280,True,False,0.9972646515861893,0.9945293052835502
2,64,20280869,128702.47179523337,0.10144540322114054,0.9650271341182626,510,True,False,0.9993403889255084,0.9986807811442128
2,65,20280870,128702.52261139345,0.10144542324820478,0.9650271203097729,510,True,False,0.9948945178318567,0.9897890390958094
2,66,20280871,128702.51985685772,0.10144542216261983,0.9650271210582745,760,True,False,0.983416100463943,0.9668322042727175
2,67,20280872,128702.43664365723,0.10144538936761462,0.9650271436701487,330,True,False,0.9937959360506436,0.9875918756261535
2,68,20280873,128702.47403343562,0.10144540410323444,0.9650271335100664,360,True,False,0.9999999895262087,0.9999999822173038
2,69,20280874,128702.48851219786,0.1014454098094334,0.9650271295756913,340,True,False,0.9999755881080689,0.9999511791108265
2,70,20280875,128702.49614955814,0.10144541281937959,0.965027127500359,570,True,False,0.9968996977103474,0.993799398769242
2,71,20280876,128702.51146235914,0.10144541885427953,0.965027123339347,670,True,False,0.9879386298878985,0.9758772631104586
2,72,20280877,128702.4491157385,0.10144539428296488,0.9650271402810574,300,True,False,0.999239757388366,0.9984795163598882
2,73,20280878,128702.5015054355,0.10144541493017464,0.9650271260449839,710,True,False,0.9972275002920081,0.9944550039613254
2,74,20280879,128702.47771343104,0.10144540555355085,0.9650271325100857,350,True,False,0.9998017275337583,0.99960345785441
2,75,20280880,128702.41264890277,0.101445379911083,0.9650271501903446,290,True,False,0.9962739872966853,0.9925479765389231
2,76,20280881,128702.44112457026,0.10144539113357949,0.9650271424525313,310,True,False,0.9993382324372175,0.9986764670982222
2,77,20280882,128702.47512529217,0.10144540453354407,0.9650271332133716,430,True,False,0.9973967965788323,0.9947935962380005
2,78,20280883,128702.47246264716,0.1014454034841738,0.9650271339369034,410,True,False,0.9999035537102057,0.9998071107233558
2,79,20280884,128702.48889372138,0.10144540995979494,0.9650271294720182,520,True,False,0.9982595822122196,0.9965191677660655
2,80,20280885,128702.51303394928,0.10144541947365601,0.9650271229122922,440,True,False,0.9949053686504701,0.9898107402112267
2,81,20280886,128702.50136467813,0.10144541487470102,0.9650271260832325,610,True,False,0.9925565845260882,0.9851131723764637
2,82,20280887,128702.47389825169,0.10144540404995735,0.9650271335468005,570,True,False,0.9997959810040098,0.9995919653371281
2,83,20280888,128702.53080364002,0.10144542647683578,0.9650271180836592,730,True,False,0.9831279937775981,0.9662559909379763
2,84,20280889,128702.51655985258,0.10144542086324325,0.9650271219541836,650,True,False,0.9878204149497156,0.9756408332529922
2,85,20280890,128702.51564106038,0.10144542050113975,0.9650271222038509,680,True,False,0.9862108646825192,0.9724217327067554
2,86,20280891,128702.47659087293,0.10144540511114149,0.9650271328151232,470,True,False,0.9947768160155142,0.9895536349390162
2,87,20280892,128702.41180958523,0.10144537958030099,0.9650271504184159,350,True,False,0.9998421087395857,0.9996842175272771
2,88,20280893,128702.44631555726,0.10144539317939034,0.9650271410419625,380,True,False,0.9995399688284232,0.9990799409158457
2,89,20280894,128702.45205503372,0.10144539544136537,0.9650271394823503,330,True,False,0.9972739076372769,0.9945478186642243
2,90,20280895,128702.42768331595,0.10144538583626996,0.9650271461049801,410,True,False,0.9921213261168956,0.984242658617429
2,91,20280896,128702.44373183906,0.10144539216112566,0.9650271417440471,320,True,False,0.9985956385936675,0.9971912802817403
2,92,20280897,128702.47734090408,0.10144540540673491,0.965027132611314,450,True,False,0.9980144676506855,0.9960289385359166
2,93,20280898,128702.49823487567,0.10144541364122028,0.965027126933707,510,True,False,0.9976511628601865,0.9953023290901715
2,94,20280899,128702.46931019987,0.10144540224176841,0.9650271347935312,510,True,False,0.9976825711173695,0.9953651454784912
2,95,20280900,128702.48127465577,0.10144540695705873,0.9650271315423791,460,True,False,0.9991691831233377,0.9983383695704324
2,96,20280901,128702.43275538141,0.10144538783521295,0.9650271447267263,370,True,False,0.9954446477688563,0.9908892989161838
2,97,20280902,128702.47883971583,0.10144540599742892,0.9650271322040356,400,True,False,0.9986542574218384,0.9973085178487577
2,98,20280903,128702.45899380973,0.10144539817599418,0.9650271375968474,360,True,False,0.9998244081085412,0.9996488194810119
2,99,20280904,128702.48845416817,0.10144540978656341,0.9650271295914599,550,True,False,0.9972226413196763,0.9944452859593508
3,0,20290805,35717.93386714766,0.05344192499834491,0.9902942150738492,3130,True,False,0.9659336571052491,0.9111069772052589
3,1,20290806,35717.414086571414,0.05344153614360691,0.990294356316019,4450,True,False,0.9974879189497937,0.9957274907971557
3,2,20290807,35736.55449770109,0.053455853473093264,0.9902891552113159,2100,True,False,0.982498018658621,0.9735890892079742
3,3,20290808,35717.289485095,0.05344144292717058,0.9902943901745042,1770,True,False,0.9942910195132754,0.9856091089536803
3,4,20290809,35717.41444860498,0.05344153641445,0.9902943562176422,4570,True,False,0.9879167776694783,0.9781538256863131
3,5,20290810,35718.1828900182,0.0534421112946523,0.9902941474058136,5000,False,True,0.9952431588272557,0.989815664178996
3,6,20290811,35717.362735718474,0.05344149772719968,0.990294370269803,1050,True,False,0.9948943540944328,0.9856222914447349
3,7,20290812,35739.39590177524,0.053457978561296686,0.990288383104594,5000,False,True,0.9852738571554057,0.9716142896122477
3,8,20290813,35717.247825184175,0.05344141176066231,0.9902944014949275,2110,True,False,0.9982820568034333,0.9972579593300919
3,9,20290814,35950.08194600488,0.05361531613921253,0.9902311324965426,4330,True,False,0.9905887696608525,0.982219387819057
3,10,20290815,35717.15966949315,0.053441345809787356,0.9902944254498456,1310,True,False,0.993579590724465,0.9822920786859944
3,11,20290816,35957.26339761016,0.05362067101673126,0.9902291810503868,5000,False,True,0.946574812721892,0.8848643831594283
3,12,20290817,35950.09194736869,0.05361532359714052,0.9902311297788298,4780,True,False,0.986108134342507,0.977065605286441
3,13,20290818,35717.39674427703,0.05344152316955786,0.9902943610285139,4160,True,False,0.9932930931831567,0.9911330231473164
3,14,20290819,35736.78113755837,0.05345602298031022,0.9902890936255109,4900,True,False,0.9826491597304696,0.9698999556269008
3,15,20290820,35950.66506655624,0.05361575096528577,0.990230974042734,5000,False,True,0.9492750873104353,0.8840345253151597
3,16,20290821,35717.18700305103,0.05344136625852758,0.9902944180223825,1330,True,False,0.9957560350631168,0.9884619489641467
3,17,20290822,35717.242823948145,0.0534414080191489,0.9902944028539346,3110,True,False,0.9625128124462426,0.9035000633883853
3,18,20290823,35717.259088312865,0.05344142018680776,0.9902943984343501,880,True,False,0.9842983894649914,0.9720705236878469
3,19,20290824,35736.58162817228,0.053455873764392155,0.9902891478390384,2130,True,False,0.98936775036351,0.9717906812371471
3,20,20290825,35736.52229473681,0.05345582938798836,0.9902891639619633,1860,True,False,0.9823513444693449,0.9731709601087395
3,21,20290826,35800.90352943621,0.05350395947224164,0.9902716693773215,5000,False,True,0.9859808097186997,0.9678747493452555
3,22,20290827,35736.54511696428,0.053455846457093364,0.9902891577603832,2440,True,False,0.9873394627124245,0.980771171413145
3,23,20290828,35717.208899022495,0.05344138263930319,0.9902944120724978,1090,True,False,0.9953390334153466,0.988528137506172
3,24,20290829,35736.84800084389,0.05345607298822282,0.9902890754564682,2130,True,False,0.9864250853241859,0.9724729844395315
3,25,20290830,35740.77390153842,0.05345900913791779,0.9902880086549022,5000,False,True,0.9840407598773392,0.9700702108115861
3,26,20290831,35730.424515167724,0.05345126856688164,0.9902908209373429,5000,False,True,0.9677804633719812,0.91661121490085
3,27,20290832,35736.448854519746,0.053455774460851105,0.9902891839181834,1190,True,False,0.9913473965059287,0.9817603670324271
3,28,20290833,35959.69511852126,0.053622484117760334,0.9902285202685999,5000,False,True,0.9402896848163566,0.8649238396737817
3,29,20290834,35967.073019859905,0.05362798473596054,0.9902265154403289,5000,False,True,0.9315070996014434,0.8465905005081772
3,30,20290835,35717.26268422139,0.05344142287697014,0.9902943974572187,1770,True,False,0.9910749204071104,0.9794838257100448
3,31,20290836,35717.274883434904,0.05344143200341522,0.9902943941422748,1770,True,False,0.9944683011817848,0.9907652765415274
3,32,20290837,35717.346848182126,0.053441485841470064,0.9902943745869903,1850,True,False,0.9885966107248084,0.9788525801091588
3,33,20290838,35717.3050457546,0.05344145456836764,0.9902943859461404,1940,True,False,0.9986042756203188,0.9971447699227252
3,34,20290839,35717.13695044289,0.05344132881323967,0.990294431623389,700,True,False,1.0,1.0
3,35,20290840,35718.32628035359,0.05344221856599076,0.9902941084417525,3630,True,False,0.9864195411754185,0.9741714002104777
3,36,20290841,35720.97375935113,0.05344419912533204,0.9902933890311101,5000,False,True,0.9965499967941519,0.9938139977318426
3,37,20290842,35950.26173778981,0.05361545020818837,0.990231083640962,5000,False,True,0.9663040323984746,0.9117485362148773
3,38,20290843,35717.21088875061,0.05344138412785483,0.9902944115318205,1210,True,False,0.995799984518034,0.9922983851518649
3,39,20290844,35718.15032542888,0.05344208693281944,0.9902941562547268,5000,False,True,0.9640425347428766,0.9160093173623665
3,40,20290845,35717.166819509126,0.053441351158847315,0.9902944235069415,1350,True,False,0.9970939703119513,0.9954020749974928
3,41,20290846,35738.26440233471,0.05345713232215259,0.9902886905717128,5000,False,True,0.9969103025103756,0.9955517746799484
3,42,20290847,35950.62657488098,0.05361572226260915,0.9902309845022393,5000,False,True,0.9604471758739974,0.9198049023434894
