target,depth_label,alpha,mean_validation_rmse_mm,median_validation_rmse_mm,std_validation_rmse_mm,minimum_validation_rmse_mm,maximum_validation_rmse_mm,standard_error_validation_rmse_mm,best_mean_rmse_alpha,within_one_standard_error,selected_alpha
SM_100_200cm_mm,100–200 cm,0.001,25.70080212925003,17.842607259974617,14.882218755722487,12.872146231656322,49.43586930823348,6.655530558763563,False,True,False
SM_100_200cm_mm,100–200 cm,0.01,25.700644385500322,17.842441750523104,14.882045336224873,12.872096297254688,49.43534472752431,6.655453003206506,False,True,False
SM_100_200cm_mm,100–200 cm,0.1,25.6990680439874,17.840789014097595,14.880312121761786,12.87159672645975,49.430102466215,6.654677886134696,False,True,False
SM_100_200cm_mm,100–200 cm,1.0,25.683412364311522,17.824489577038573,14.863078750184789,12.866577605723213,49.378030839682104,6.64697088806916,False,True,False
SM_100_200cm_mm,100–200 cm,10.0,25.536285656864987,17.678612938069886,14.700917193968015,12.813927441374764,48.88952305802075,6.574450035461588,False,True,False
SM_100_200cm_mm,100–200 cm,30.0,25.25738234664816,17.414640236755005,14.402620715683096,12.688625999135835,47.97671987602312,6.441047794882814,False,True,False
SM_100_200cm_mm,100–200 cm,100.0,24.61374694497915,17.250074316248345,13.797799351498114,12.326573353475107,45.96831808768402,6.170563457970459,False,True,False
SM_100_200cm_mm,100–200 cm,300.0,23.961556056709583,17.048982723472648,13.383536435586493,12.13814190161185,44.130750231395936,5.9852994498633265,True,True,False
SM_100_200cm_mm,100–200 cm,1000.0,24.375449060473994,16.851851303426358,13.587118239741303,13.675868605197492,44.54387254153043,6.076344000477767,False,True,False
SM_100_200cm_mm,100–200 cm,3000.0,27.16029999731782,20.604874763459936,13.697211241235209,14.984600275775442,47.605310067480794,6.12557908751524,False,True,True
SM_100_200cm_mm,100–200 cm,10000.0,31.807299832355785,27.83922074739757,13.174032648632615,20.587369751285667,51.90224659525369,5.891606508028826,False,False,False
SM_100_200cm_mm,100–200 cm,30000.0,34.79188365167316,31.664322965032728,12.754040876931294,23.61290074600853,54.56054210730207,5.70378047772588,False,False,False
SM_100_200cm_mm,100–200 cm,100000.0,36.254272213124,33.36141964128074,12.54741426017753,24.969072624081537,55.864959239877315,5.6113742455214375,False,False,False
SM_100_200cm_mm,100–200 cm,300000.0,36.73068670734105,33.891404038421,12.48082206257579,25.425932547730635,56.29143397201525,5.58159330939972,False,False,False
