rank,region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
122,MYS_05_05,1,102.25,3.25,5,5,102.0,102.5,3.0,3.5,True,True,12,11,12,3,3,11,-1,0,0.7202707056929035,0.7202707056929035,0.951446356629507,0.8066967992747186,-0.029907323976519254,0.36638006047222427,211.59085259435878,282.72950420581475,1.336208539921317,846.5074887876158,110.54303686394269,0.1305871930586988,73.01830978237079,198.1534877873224,mixed,0.7202707056929035,0.48399217654351057,-0.10709912229393112,-0.6531050532313011,-0.7342097991866257,-0.48553957205391163,-0.21866237950410838,1
123,MYS_04_26,1,112.75,2.75,26,4,112.5,113.0,2.5,3.0,True,True,1,11,1,3,8,10,-2,0,0.7180524714002221,0.7180524714002221,0.9698271810680148,0.8157629108189747,-0.3451093906252925,0.6639423921576466,331.5534709832504,279.66295141308615,0.8434927572428108,896.175029099541,22.667758049944837,0.025293896073762458,211.33718640952256,270.0400094480957,precipitation-dominant,0.7180524714002221,0.4137105751246953,-0.0584172805412402,-0.3540327455783149,-0.5954814304635371,-0.721515737790297,-0.7505633723754406,2
124,MYS_09_36,1,117.75,5.25,36,9,117.5,118.0,5.0,5.5,True,True,12,10,12,3,8,10,-2,0,0.7137170747540963,0.7137170747540963,0.8586940848743744,0.729756830673305,-0.4792351349661248,0.47847571967194596,269.6812534913899,152.27393281704533,0.5646441153979098,862.4301200939361,81.49026515738683,0.09448912237493617,144.43555511640128,156.95013685587517,mixed,0.7137170747540963,0.4306968571783609,-0.0034112067151544126,-0.41596865140825434,-0.5519122539702931,-0.6077498077591422,-0.6074801852948493,2
125,MYS_06_29,1,114.25,3.75,29,6,114.0,114.5,3.5,4.0,True,True,12,11,1,3,4,11,-1,0,0.7114342125136892,0.7114342125136892,0.8637018541289213,0.8111506103346786,-0.30296826030870816,0.7960979005171744,308.4881590802655,139.7418289053734,0.4529892794653878,891.3314705096855,31.73600532975786,0.03560516640527729,175.19296871264143,198.13685957197163,mixed,0.7114342125136892,0.646644492249159,-0.12608097927381792,-0.666462989709982,-0.5784804932170192,-0.27444647945924633,-0.16871615827535663,1
126,MYS_05_27,1,113.25,3.25,27,5,113.0,113.5,3.0,3.5,True,True,1,11,1,3,4,10,-2,0,0.7106984154961836,0.7106984154961836,0.9771950353777158,0.8130740894154911,-0.4042460561121866,0.7489676802181972,326.5515657655179,234.87266118711696,0.7192513704122567,893.2369696703823,25.572584818830478,0.0286291159984871,189.6339144611599,225.15182580345805,precipitation-dominant,0.7106984154961836,0.4230386217279283,-0.1241537666569007,-0.4649123309691759,-0.6480150029713392,-0.6800377426969381,-0.6483143048265059,2
127,MYS_10_36,1,117.75,5.75,36,10,117.5,118.0,5.5,6.0,True,True,1,10,1,3,8,9,-3,0,0.7096179591146319,0.7096179591146319,0.9222265368331354,0.712256667951724,-0.4169722261367162,0.43536296547485953,278.67803514334264,217.6612396377483,0.7810491398282993,858.3922097964933,116.7285382059597,0.13598508569134565,174.87897883987318,312.2790857425774,precipitation-dominant,0.7096179591146319,0.48808734110623947,0.02148706762695864,-0.4708925585214431,-0.7401280081928039,-0.7187762880390599,-0.5119696278289516,3
128,MYS_05_30,1,114.75,3.25,30,5,114.5,115.0,3.0,3.5,True,True,5,11,12,3,4,6,-6,0,0.7090986747425381,0.7090986747425381,0.8148172368912667,0.8435160825234156,0.14714257096326405,0.787009940239014,293.43219282345325,121.77634214008435,0.4150067549450937,886.8650244365241,29.472058137865247,0.03323172898445344,188.5526198736411,165.49369001672022,mixed,0.7090986747425381,0.6305532522127985,-0.22024278878722622,-0.6606169738476373,-0.48193544110499964,-0.036353798182457035,0.21679927616245842,6
129,MYS_08_37,1,118.25,4.75,37,8,118.0,118.5,4.5,5.0,True,True,12,12,12,3,8,0,0,0,0.7068946395664664,0.7068946395664664,0.8466527778876182,0.6797698494998633,-0.35728460544931684,0.39984447358025327,211.8586236899955,105.0044255012244,0.4956344172936444,839.5502449810938,87.75692495477062,0.10452849663184466,76.44787833834887,62.48278310079271,precipitation-dominant,0.7068946395664664,0.48562150700121043,0.12569306533392963,-0.32262862365468814,-0.6341180502745247,-0.7284967321149483,-0.6492883781355115,12
130,MYS_11_36,1,117.75,6.25,36,11,117.5,118.0,6.0,6.5,True,True,1,12,1,3,4,11,-1,0,0.7034067739674615,0.7034067739674615,0.9624570412482224,0.6911815376942739,-0.10375639529529891,0.2637820421967417,271.277239858304,296.8745136393442,1.0943583538169674,821.7925854906624,147.28178423608267,0.17922014245011236,150.9153958020041,353.80449954152806,precipitation-dominant,0.7034067739674615,0.49267736106370613,0.04955724510553002,-0.45787063911463516,-0.7773116645231937,-0.7784770954175327,-0.540397452401101,1
131,MYS_03_08,1,103.75,2.25,8,3,103.5,104.0,2.0,2.5,True,True,12,12,12,1,3,0,0,0,0.7021984582023127,0.7021984582023127,0.9438618946749399,0.7245821420363788,0.3163720674780536,0.061843468938231574,211.0925474774815,302.5120720144584,1.433077934912549,835.5287358854763,105.05082262287033,0.1257297542394393,88.55643259563801,293.5006380744169,precipitation-dominant,0.7021984582023127,0.4459784086223942,-0.18496901309515815,-0.6806877424167492,-0.6852580519038894,-0.4519155429315564,-0.18611422276591097,12
