grid_id,longitude,latitude,corrected_aet_records,minimum_raw_aet_mm,mean_raw_aet_mm
MY_0p5_2.2500_102.2500,102.25,2.25,0,92.4268761958802,120.44946124407917
MY_0p5_2.2500_102.7500,102.75,2.25,0,94.72682600383516,122.46914348870557
MY_0p5_2.2500_103.2500,103.25,2.25,0,95.72215973384796,123.67410062483799
MY_0p5_2.2500_103.7500,103.75,2.25,0,92.87287114030224,122.84358956468081
MY_0p5_2.2500_104.2500,104.25,2.25,0,91.09774855936855,125.49593344689292
MY_0p5_2.2500_111.2500,111.25,2.25,0,81.13274821113137,116.44883327889285
MY_0p5_2.2500_111.7500,111.75,2.25,0,80.7742669726175,116.93927032127583
MY_0p5_2.2500_112.2500,112.25,2.25,0,79.42386602976964,118.26770834752911
MY_0p5_2.2500_112.7500,112.75,2.25,0,79.85858733162047,120.62927103362175
MY_0p5_2.2500_113.2500,113.25,2.25,0,84.38431679861887,124.8823678479876
MY_0p5_2.2500_113.7500,113.75,2.25,0,89.39783571943453,126.20346004657773
MY_0p5_2.2500_114.2500,114.25,2.25,0,97.2158715868753,128.20448546428108
MY_0p5_2.2500_114.7500,114.75,2.25,0,101.62376844344602,126.79468109137699
MY_0p5_2.2500_115.2500,115.25,2.25,0,101.65917205810548,124.63284952375624
MY_0p5_1.7500_102.7500,102.75,1.75,0,93.46881008148192,120.30199998882082
MY_0p5_1.7500_103.2500,103.25,1.75,0,94.96554306030276,121.3213692940606
MY_0p5_1.7500_103.7500,103.75,1.75,0,84.40955029258245,111.61055424411254
MY_0p5_1.7500_104.2500,104.25,1.75,0,75.44943053962649,105.45615337775968
MY_0p5_1.7500_109.7500,109.75,1.75,0,77.62443542480469,117.66121535831027
MY_0p5_1.7500_110.2500,110.25,1.75,0,79.0610649394479,118.81025856684448
MY_0p5_1.7500_110.7500,110.75,1.75,0,85.86996688842771,125.04682696766322
MY_0p5_1.7500_111.2500,111.25,1.75,0,86.24170007040334,123.37241220607315
MY_0p5_1.7500_111.7500,111.75,1.75,0,84.50423288948927,117.99136301414873
MY_0p5_1.7500_112.2500,112.25,1.75,0,81.67457788860987,118.14117986171124
MY_0p5_1.7500_112.7500,112.75,1.75,0,80.46890646313864,120.05674724504851
MY_0p5_1.7500_113.2500,113.25,1.75,0,81.6444101000589,122.56664747833574
MY_0p5_1.7500_113.7500,113.75,1.75,0,84.12602679540241,123.49529485483858
MY_0p5_1.7500_114.2500,114.25,1.75,0,88.86163739401196,125.66314465807017
MY_0p5_1.7500_114.7500,114.75,1.75,0,93.267544405448,124.70510454973957
MY_0p5_1.2500_103.2500,103.25,1.25,0,87.83141985806552,113.7110914061768
MY_0p5_1.2500_103.7500,103.75,1.25,0,76.57061212039687,103.6087143921672
MY_0p5_1.2500_104.2500,104.25,1.25,0,62.82556915283203,92.16691296895345
MY_0p5_1.2500_109.7500,109.75,1.25,0,77.53477671060219,117.54313661838312
MY_0p5_1.2500_110.2500,110.25,1.25,0,76.64950744157592,117.0230555337573
MY_0p5_1.2500_110.7500,110.75,1.25,0,84.42233872186569,123.22708953514301
MY_0p5_1.2500_111.2500,111.25,1.25,0,84.25657137057271,122.85268729036906
MY_0p5_1.2500_111.7500,111.75,1.25,0,84.3313983735584,120.15406109542442
MY_0p5_1.2500_112.2500,112.25,1.25,0,83.89062902770067,120.47772009075527
MY_0p5_1.2500_112.7500,112.75,1.25,0,80.46557394663493,119.87139178602784
MY_0p5_1.2500_113.2500,113.25,1.25,0,79.65062017026155,121.57174871656629
MY_0p5_1.2500_113.7500,113.75,1.25,0,80.87010019475763,122.71287476542823
