target,depth_label,maximum_lag_months,configuration,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,3,4,100.0,6,72,7.003768341257521,5.815632181017552,0.8638199873033205
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,4,0,10.0,8,96,13.36501035195312,10.09446469124126,0.5617755934384564
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,0,1,0.0,6,72,6.247594982388198,4.841981897005358,0.5594654862968049
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,1,2,0.0,7,84,9.850437183231493,8.251112560485069,0.7031953693042813
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,2,3,30.0,6,72,7.688943372580968,6.5442234341596475,0.7435206090179409
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,3,4,10.0,6,72,7.698557387616347,6.111371971291301,0.8354611234249285
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,4,0,0.0,8,96,10.907787885633226,8.85225235526156,0.7081018579867893
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,0,1,1.0,6,72,13.435204321444315,11.126311735797984,-1.0372426287377898
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,1,2,30.0,7,84,10.356215909142021,7.962595556403102,0.67193352437956
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,2,3,30.0,6,72,6.792030160041557,5.528971944750977,0.7998671590526957
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,3,4,100.0,6,72,7.705953555330659,6.194746905834758,0.8351448195659948
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,4,0,30.0,8,96,12.267985185808525,10.010634081195477,0.6307636506903866
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,0,1,100.0,6,72,32.768113289143145,28.457384117960046,-1.0400542928466319
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,1,2,0.0,7,84,34.158641268353975,24.003672609917153,0.30581893280449535
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,2,3,100.0,6,72,21.207275532373952,17.874412085402486,0.6292789569088277
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,3,4,10.0,6,72,23.629819738603803,19.45389986917524,0.7025977127895942
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,4,0,0.0,8,96,31.014850374260362,24.04377482150673,0.4887123903986891
SM_40_100cm_mm,40–100 cm,3,FULL,19,0,1,30.0,6,72,21.646764622215994,18.578919059200196,0.10972363804154794
SM_40_100cm_mm,40–100 cm,3,FULL,19,1,2,1.0,7,84,20.543635861615787,17.11925358006311,0.7489118556777632
SM_40_100cm_mm,40–100 cm,3,FULL,19,2,3,30.0,6,72,13.604566447938158,11.50359323050379,0.8474378175032652
SM_40_100cm_mm,40–100 cm,3,FULL,19,3,4,100.0,6,72,16.27444867752482,12.26009159584978,0.8589295482292523
SM_40_100cm_mm,40–100 cm,3,FULL,19,4,0,0.0,8,96,20.014536039526146,17.250170492003353,0.7870797625488535
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,0,1,100.0,6,72,35.24012306272908,30.879166402044632,-1.3594657931680856
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,1,2,0.0,7,84,28.637185445835183,21.10563491697532,0.5120983871862994
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,2,3,30.0,6,72,20.563106590157652,17.468598049801923,0.6514581484167845
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,3,4,30.0,6,72,16.66382233172582,13.323938628955014,0.8520984449976093
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,4,0,0.0,8,96,30.924273928119266,23.90602115554123,0.49169438069112215
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,0,1,100.0,6,72,29.391328258896156,25.390541561405545,-0.6412595994966994
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,1,2,0.0,7,84,33.06132788738611,23.14452996870797,0.34970236367072427
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,2,3,30.0,6,72,19.35471295321571,16.030999832476173,0.6912187293193589
