region_id,month,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,dominant_monthly_component,dominant_monthly_component_label,month_name,regional_loading_mm,normalized_seasonal_profile,dominant_monthly_contribution_mm,reconstructed_total_mm,dominant_monthly_component_fraction
MYS_07_29,9,1,114.25,4.25,29,7,True,K4_C3,April–October mode,Sep,1465.0091604820575,0.1376209669856309,201.61597730834808,309.70111075547254,0.6510017894883686
MYS_07_29,10,1,114.25,4.25,29,7,True,K4_C3,April–October mode,Oct,1465.0091604820575,0.1386202479765914,203.0799331140008,372.77847105320933,0.5447737701703641
MYS_07_29,11,1,114.25,4.25,29,7,True,K4_C2,May–June southwest mode,Nov,1010.2995289288756,0.1258092686029743,127.10504480447132,367.788547451918,0.3455927208312219
MYS_07_29,12,1,114.25,4.25,29,7,True,K4_C1,January eastern mode,Dec,806.2629689829697,0.1648341306180569,132.89965554184118,390.1655552083824,0.3406237525782131
MYS_07_30,1,1,114.75,4.25,30,7,True,K4_C1,January eastern mode,Jan,722.8372438552332,0.3142285883169263,227.13612671952774,271.5904012247421,0.8363186831907646
MYS_07_30,2,1,114.75,4.25,30,7,True,K4_C1,January eastern mode,Feb,722.8372438552332,0.2053666456716191,148.4466601370674,223.07917831790616,0.6654438180040215
MYS_07_30,3,1,114.75,4.25,30,7,True,K4_C2,May–June southwest mode,Mar,996.2304538952108,0.1381761742726676,137.6553128131634,270.61171433661235,0.5086820175195178
MYS_07_30,4,1,114.75,4.25,30,7,True,K4_C2,May–June southwest mode,Apr,996.2304538952108,0.1771518265910075,176.48404461312506,265.1915163326184,0.665496570379607
MYS_07_30,5,1,114.75,4.25,30,7,True,K4_C3,April–October mode,May,1449.9046148535017,0.1287233906059157,186.63663807910706,305.68618529121613,0.6105497960311982
MYS_07_30,6,1,114.75,4.25,30,7,True,K4_C3,April–October mode,Jun,1449.9046148535017,0.1188687959736476,172.34841584427102,245.94802215718047,0.7007513796314515
MYS_07_30,7,1,114.75,4.25,30,7,True,K4_C3,April–October mode,Jul,1449.9046148535017,0.1056946639096819,153.24718096803764,240.23208537852085,0.6379130444901823
MYS_07_30,8,1,114.75,4.25,30,7,True,K4_C3,April–October mode,Aug,1449.9046148535017,0.1309179607663566,189.8185554823501,288.61122432372014,0.6576963731301058
MYS_07_30,9,1,114.75,4.25,30,7,True,K4_C3,April–October mode,Sep,1449.9046148535017,0.1376209669856309,199.53727513306762,303.68516167862305,0.6570530941654283
MYS_07_30,10,1,114.75,4.25,30,7,True,K4_C3,April–October mode,Oct,1449.9046148535017,0.1386202479765914,200.98613725339663,362.832071952678,0.5539370766529428
MYS_07_30,11,1,114.75,4.25,30,7,True,K4_C2,May–June southwest mode,Nov,996.2304538952108,0.1258092686029743,125.33502476456559,346.4785126014631,0.3617396756396614
MYS_07_30,12,1,114.75,4.25,30,7,True,K4_C1,January eastern mode,Dec,722.8372438552332,0.1648341306180569,119.14824866922976,353.38510704054903,0.3371626203125706
MYS_07_31,1,1,115.25,4.25,31,7,True,K4_C1,January eastern mode,Jan,619.6696749209573,0.3142285883169263,194.71792717322103,226.95433234983292,0.8579608291992332
MYS_07_31,2,1,115.25,4.25,31,7,True,K4_C1,January eastern mode,Feb,619.6696749209573,0.2053666456716191,127.25948256293962,198.7422110123556,0.6403243775678235
MYS_07_31,3,1,115.25,4.25,31,7,True,K4_C2,May–June southwest mode,Mar,975.6674261431305,0.1381761742726676,134.81399230691824,249.5189840696299,0.5402955322601727
MYS_07_31,4,1,115.25,4.25,31,7,True,K4_C2,May–June southwest mode,Apr,975.6674261431305,0.1771518265910075,172.84126668660247,253.77238670778388,0.6810877610794877
MYS_07_31,5,1,115.25,4.25,31,7,True,K4_C3,April–October mode,May,1374.170737542985,0.1287233906059157,176.88791660796494,290.2512935624119,0.609430243830866
MYS_07_31,6,1,115.25,4.25,31,7,True,K4_C3,April–October mode,Jun,1374.170737542985,0.1188687959736476,163.34602103395395,230.49754474894058,0.7086670758765413
MYS_07_31,7,1,115.25,4.25,31,7,True,K4_C3,April–October mode,Jul,1374.170737542985,0.1056946639096819,145.2425142591255,225.21898339886806,0.6448946357328043
