region_id,component,component_label,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,annual_component_contribution_mm,reconstructed_annual_precipitation_mm,annual_component_fraction
SLR_03_02,K4_C2,May–June southwest mode,25,80.75000000000001,7.249999999999995,2,3,False,1017.4264371120723,2301.2151223585533,0.4421257392352329
SLR_03_02,K4_C3,April–October mode,25,80.75000000000001,7.249999999999995,2,3,False,460.42395489418885,2301.2151223585533,0.2000786238629845
SLR_03_02,K4_C4,November northern mode,25,80.75000000000001,7.249999999999995,2,3,False,566.8816508123247,2301.2151223585533,0.24634013800123056
SLR_03_03,K4_C1,January eastern mode,25,81.25000000000001,7.249999999999995,3,3,False,501.1958326718327,1986.1476590378966,0.2523457057138518
SLR_03_03,K4_C2,May–June southwest mode,25,81.25000000000001,7.249999999999995,3,3,False,580.5977412719192,1986.1476590378966,0.2923235534024518
SLR_03_03,K4_C3,April–October mode,25,81.25000000000001,7.249999999999995,3,3,False,330.10526973228036,1986.1476590378966,0.16620379065481244
SLR_03_03,K4_C4,November northern mode,25,81.25000000000001,7.249999999999995,3,3,False,574.2488153618644,1986.1476590378966,0.289126950228884
SLR_03_04,K4_C1,January eastern mode,19,81.69210526315791,7.23947368421052,4,3,False,620.3915419705911,1823.2501573152372,0.3402668248684683
SLR_03_04,K4_C2,May–June southwest mode,19,81.69210526315791,7.23947368421052,4,3,False,360.50555545192356,1823.2501573152372,0.1977268747272581
SLR_03_04,K4_C3,April–October mode,19,81.69210526315791,7.23947368421052,4,3,False,266.4830572398549,1823.2501573152372,0.146158252706395
SLR_03_04,K4_C4,November northern mode,19,81.69210526315791,7.23947368421052,4,3,False,575.8700026528677,1823.2501573152372,0.3158480476978786
SLR_04_00,K4_C1,January eastern mode,10,79.9,7.749999999999995,0,4,False,17.796370137019007,1890.4964822066652,0.009413596007460619
SLR_04_00,K4_C2,May–June southwest mode,10,79.9,7.749999999999995,0,4,False,814.4632304805041,1890.4964822066652,0.4308197545704127
SLR_04_00,K4_C3,April–October mode,10,79.9,7.749999999999995,0,4,False,488.79527787135197,1890.4964822066652,0.25855392087310847
SLR_04_00,K4_C4,November northern mode,10,79.9,7.749999999999995,0,4,False,569.44160371779,1890.4964822066652,0.3012127285490182
SLR_04_01,K4_C1,January eastern mode,25,80.25000000000001,7.749999999999995,1,4,False,83.68215180604815,2021.553012336215,0.041394982617517694
SLR_04_01,K4_C2,May–June southwest mode,25,80.25000000000001,7.749999999999995,1,4,False,863.9309734058603,2021.553012336215,0.42736003861083777
SLR_04_01,K4_C3,April–October mode,25,80.25000000000001,7.749999999999995,1,4,False,473.320785382571,2021.553012336215,0.2341372115864407
SLR_04_01,K4_C4,November northern mode,25,80.25000000000001,7.749999999999995,1,4,False,600.6191017417356,2021.553012336215,0.29710776718520376
SLR_04_02,K4_C1,January eastern mode,25,80.75000000000001,7.749999999999995,2,4,False,255.84535655663035,2041.1757058226474,0.12534215247947897
SLR_04_02,K4_C2,May–June southwest mode,25,80.75000000000001,7.749999999999995,2,4,False,755.412205195936,2041.1757058226474,0.37008680979351805
SLR_04_02,K4_C3,April–October mode,25,80.75000000000001,7.749999999999995,2,4,False,383.4574770109031,2041.1757058226474,0.18786108217781267
SLR_04_02,K4_C4,November northern mode,25,80.75000000000001,7.749999999999995,2,4,False,646.4606670591779,2041.1757058226474,0.31670995554919035
