component_count,run_index,random_seed,rss,relative_error,explained_variance,iterations,converged,mean_component_stability,minimum_component_stability
4,15,20300821,18781.936640291333,0.03875333783607547,0.9948963050828948,9891,True,0.9983998595752095,0.9963761959662322
4,16,20300822,18781.93666094159,0.03875333785737961,0.9948963050772834,17740,True,0.9976763545208645,0.9961392473876741
4,17,20300823,18782.140170655628,0.03875354781068432,0.99489624977673,20000,False,0.9949802574883874,0.9865787333777815
4,18,20300824,18781.937358018877,0.03875333857652993,0.9948963048878637,16762,True,0.9990878249918698,0.9967472042185228
4,19,20300825,18781.936331576362,0.038753337517585,0.9948963051667833,7133,True,0.9976146109670166,0.9963775234161268
4,20,20300826,18781.93689849648,0.0387533381024567,0.9948963050127317,13996,True,0.9998155390110004,0.9993248771059765
4,21,20300827,18781.9401009578,0.03875334140632418,0.9948963041425134,20000,False,0.9973628605174526,0.9908795247404993
4,22,20300828,18781.936467793636,0.0387533376581156,0.9948963051297683,13265,True,0.999478126465692,0.9986650823676866
4,23,20300829,18781.93669565844,0.038753337893195766,0.9948963050678498,18359,True,0.9985853070768428,0.9949086979875528
4,24,20300830,18786.723788430405,0.03875827625517831,0.9948950042509257,20000,False,0.9913177851704995,0.972139524716982
4,25,20300831,18781.93637295838,0.03875333756027737,0.9948963051555384,5386,True,0.9964440914691893,0.9945638964808727
4,26,20300832,18781.936205173046,0.0387533373871791,0.9948963052011314,14224,True,1.0,0.9999999999999998
4,27,20300833,18781.936559482667,0.03875333775270799,0.9948963051048534,12598,True,0.999983038097538,0.9999391756446423
4,28,20300834,18781.937313363436,0.038753338530460466,0.9948963048999981,14130,True,0.9467225357299645,0.8837378445995401
4,29,20300835,18781.936480642617,0.03875333767137146,0.9948963051262769,17608,True,0.9993945296538174,0.9978493361235967
4,30,20300836,18781.93735669954,0.03875333857516882,0.9948963048882222,16642,True,0.9993098889807139,0.9975519610932785
4,31,20300837,18781.936445811698,0.0387533376354376,0.9948963051357417,12317,True,0.9999951467914688,0.9999909857913585
4,32,20300838,18781.936256789195,0.03875333744042967,0.9948963051871055,9903,True,0.9985781005003223,0.9966608340503639
4,33,20300839,18781.936329958975,0.038753337515916385,0.9948963051672228,7998,True,0.9991321695988913,0.9973505930096533
4,34,20300840,18781.937208200397,0.038753338421967425,0.9948963049285745,15017,True,0.9995512646446043,0.9984236335477437
4,35,20300841,18781.936831971914,0.03875333803382562,0.9948963050308087,11999,True,0.9999895529326995,0.9999659215948972
4,36,20300842,18781.936363730223,0.038753337550757,0.994896305158046,8810,True,0.9995432801833788,0.9983747020586079
4,37,20300843,18781.936826216606,0.038753338027888086,0.9948963050323726,16302,True,0.9975473828921108,0.9963703000574198
4,38,20300844,18781.936299038207,0.03875333748401651,0.994896305175625,7898,True,0.998620683136048,0.9974427599682215
4,39,20300845,18781.9464040851,0.03875334790903962,0.9948963024297379,20000,False,0.9963626756480146,0.9872173682433003
4,40,20300846,18781.936717108314,0.03875333791532486,0.9948963050620211,11987,True,0.9999890130016081,0.9999584670952744
4,41,20300847,18781.93654219211,0.038753337734869914,0.9948963051095517,9380,True,0.9997737450050825,0.9992659079660547
4,42,20300848,18781.936941962907,0.038753338147299504,0.9948963050009204,12745,True,0.9999667658445386,0.9998773065914159
4,43,20300849,18781.93664707142,0.03875333784307024,0.9948963050810525,10412,True,0.9999163571521675,0.9997231075006547
4,44,20300850,18781.94177578152,0.038753343134181197,0.9948963036874064,20000,False,0.9939532657870214,0.9898134044442688
4,45,20300851,18781.93716387902,0.03875333837624261,0.9948963049406182,17876,True,0.9990420398069225,0.9966230396263237
4,46,20300852,18781.937225361988,0.03875333843967245,0.9948963049239111,17820,True,0.9988555795939861,0.9960214855141117
4,47,20300853,18781.936348943273,0.038753337535501836,0.9948963051620641,7364,True,0.9990743084651819,0.9967640678417259
4,48,20300854,18781.9364199139,0.038753337608719754,0.9948963051427789,13299,True,0.9999856763777637,0.9999472818060752
4,49,20300855,18781.936340141852,0.03875333752642171,0.9948963051644557,10365,True,0.999818766067754,0.9993539893345936
4,50,20300856,18781.937232416167,0.038753338446949996,0.9948963049219943,19585,True,0.9983884122372457,0.9944139103173266
4,51,20300857,18781.937925136586,0.03875333916160548,0.9948963047337585,18764,True,0.9474728873950571,0.8755193709050437
4,52,20300858,18796.25721541006,0.038768109058824225,0.9948924136925743,20000,False,0.9824141206292067,0.9648299537147027
4,53,20300859,18781.93673296891,0.038753337931687684,0.9948963050577112,13618,True,0.9999181488061387,0.9997037492953164
4,54,20300860,18781.93654518082,0.03875333773795327,0.9948963051087396,9285,True,0.9997487269270486,0.9991433500283766
4,55,20300861,18781.93802378156,0.03875333926337405,0.9948963047069532,20000,False,0.9979439091074046,0.9928857773006625
4,56,20300862,18781.936395177,0.03875333758319955,0.9948963051495008,8660,True,0.9993880493776122,0.9982558038875212
4,57,20300863,18781.936317221596,0.038753337502775674,0.994896305170684,8173,True,0.999220098576869,0.9972418683717353
4,58,20300864,18781.93641606671,0.038753337604750734,0.9948963051438243,10444,True,0.9998401482183245,0.9995662597205657
4,59,20300865,18781.936783841258,0.03875333798417091,0.9948963050438875,7973,True,0.9994781982264305,0.9987988300681938
4,60,20300866,18781.984216054054,0.03875338691829934,0.994896292154932,20000,False,0.995012491862949,0.9827946680717283
4,61,20300867,18781.936447142172,0.038753337636810214,0.9948963051353801,10461,True,0.999881416985422,0.9995755545383971
4,62,20300868,18782.316699551506,0.0387537299279742,0.9948962018077879,20000,False,0.9936451506678528,0.977717355526814
4,63,20300869,18781.936885441806,0.03875333808898865,0.9948963050162791,19794,True,0.9975439978654596,0.9927771758348831
4,64,20300870,18781.93630083911,0.03875333748587444,0.9948963051751356,9951,True,0.9988066840147669,0.9970735108959063
4,65,20300871,18781.936329174787,0.03875333751510736,0.9948963051674359,8720,True,0.9994704377825433,0.9981361266096191
4,66,20300872,18781.936861490485,0.0387533380642789,0.9948963050227875,11374,True,0.9999883354961323,0.999977603599947
4,67,20300873,18781.936375909052,0.038753337563321485,0.9948963051547366,7062,True,0.99903354610653,0.996727069744992
4,68,20300874,18781.93667791225,0.03875333787488764,0.994896305072672,16790,True,0.999489939456961,0.9981760104220974
4,69,20300875,18782.510312666927,0.038753929669336495,0.994896149196479,20000,False,0.9935484968669039,0.9772554791301792
4,70,20300876,18781.93655748982,0.038753337750652025,0.9948963051053948,8153,True,0.9991233269648966,0.9981238955195625
4,71,20300877,18781.936301999493,0.03875333748707157,0.9948963051748203,9444,True,0.9992306620057816,0.9983144759308107
