region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight,C7_scaled_loading,C7_raw_weight
MYS_04_30,1,114.75,2.75,30,4,True,1340.836087034299,13.747382146869102,313.8473883635295,6.7119280171236415,289.30068730811655,3.249454444254558,173.99098920581764,4.755574832418858,618.8468349993824,6.382808753530522,323.6590478038558,4.682803216290143,437.9969123093028,7.839021502095088
MYS_04_31,1,115.25,2.75,31,4,True,1347.6775461379252,13.817526554264754,246.56047596845895,5.272932730767775,410.0867246044174,4.606135374909748,210.3164270729303,5.748432789523109,486.18871650015683,5.014568096721489,250.80594697036744,3.628741118491111,401.16144167631035,7.179761041080904
MYS_05_03,1,101.25,3.25,3,5,True,517.7292961914596,5.308197289883586,769.7382559042884,16.46159234459395,178.2111565375278,2.0016856510605594,1.2534716736349844e-06,3.426027043985081e-08,809.2654123326001,8.346792882557382,120.39848887371426,1.7419640660747981,152.05574032473945,2.7214078100187167
MYS_05_04,1,101.75,3.25,4,5,True,515.9224808127854,5.289672295128697,606.1961284635017,12.964086780270518,174.28061370709804,1.9575373982945017,137.55883074243172,3.7597999553979236,715.0553571907088,7.375106948943684,270.766840399593,3.9175417455233226,133.0501056102703,2.3812556879359965
MYS_05_05,1,102.25,3.25,5,5,True,375.7079956888595,3.8520751658713963,242.38341458187858,5.183602258731603,311.0619219638959,3.493878822650097,449.008517441703,12.272437870685259,522.6951923541991,5.39109721582406,536.3434987196018,7.759990267173179,101.60095237805868,1.8183964953673142
MYS_05_06,1,102.75,3.25,6,5,True,241.718199938007,2.4782988006766633,69.95727169562022,1.4961034862953404,387.3908750773964,4.351213308191098,645.0502697864079,17.63071089280678,402.8473223086081,4.15498192726522,747.4975675345953,10.815035257538568,87.58213540908139,1.567495622403753
MYS_05_07,1,103.25,3.25,7,5,True,121.54923102062236,1.2462252057926806,143.156809802624,3.0615459557156175,382.4584304892531,4.295811594019187,685.7832021396981,18.744035834713884,379.001471751269,3.9090349577329015,885.5115440861365,12.811865865778557,94.3803261138201,1.6891658022888496
MYS_05_25,1,112.25,3.25,25,5,True,294.2755853224283,3.0171614316176445,426.2529331383294,9.11582861731005,365.80211160179124,4.108726143454253,145.5367487001341,3.977854844492624,862.6067035440611,8.89695689926351,859.792114561931,12.439748886153488,903.4685449421803,16.16977003999279
MYS_05_26,1,112.75,3.25,26,5,True,369.42247678971034,3.7876307262165128,470.07072618668764,10.052914231892712,423.6603360432984,4.758595545070633,115.46372079857869,3.155889665283878,922.8205822756315,9.518005033495749,785.2632335698194,11.361441061964777,846.9934998316927,15.159011560854765
MYS_05_27,1,113.25,3.25,27,5,True,415.33471501966017,4.258361705393289,533.0512881302025,11.39981407530715,454.6065757563282,5.106186824939847,52.95973650177155,1.4475116854553638,988.3725112422964,10.19411001191041,781.7919530567962,11.311217458882062,689.1628302600174,12.334247326926283
