region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight
MYS_08_30,1,114.75,4.75,30,8,True,649.2289878739235,6.6211751780879435,1151.997497333986,11.702125814845765,1033.01851246717,9.129060877675384,576.0883211990841,6.8707190708648165
MYS_08_31,1,115.25,4.75,31,8,True,582.2031258261302,5.937610546240394,1077.7862557376122,10.948279310798277,1107.331527396722,9.785784865782075,414.36314547253704,4.94190328305204
MYS_08_32,1,115.75,4.75,32,8,True,567.3800830639802,5.786437439934884,1021.2693136633186,10.37417357849043,1122.2196784106377,9.917355438159769,308.1426465270286,3.6750641874379615
MYS_08_33,1,116.25,4.75,33,8,True,586.9407810395676,5.985927620319721,1003.7141535974647,10.19584620168119,1064.0911118405627,9.40365774877099,233.45178785244454,2.7842634399994637
MYS_08_34,1,116.75,4.75,34,8,True,670.9005578967568,6.842193130436744,1023.6851622702784,10.39871405224466,996.6399057626908,8.807573400691998,221.42987691105444,2.640884083512383
MYS_08_35,1,117.25,4.75,35,8,True,833.9578449841271,8.505136224528707,1088.8231284045653,11.060393159005425,918.0877080987755,8.113386620983283,285.14882480514245,3.4008283044959207
MYS_08_36,1,117.75,4.75,36,8,True,847.8322564508,8.646634695067661,984.1133978419109,9.996739423716503,792.1288733007547,7.000254709914329,330.248027203118,3.9387040756131073
MYS_08_37,1,118.25,4.75,37,8,True,758.6396494774536,7.7370020594473345,772.7329269595864,7.849511785817254,643.9477087102997,5.690738127060166,362.42171828840725,4.322423697735802
MYS_08_38,1,118.75,4.75,38,8,True,669.9267460163798,6.832261689957485,653.1320927534239,6.634592471599979,545.4644536236773,4.820415262303197,393.2853434416868,4.690518814636079
MYS_09_01,1,100.25,5.25,1,9,True,265.54237322406783,2.708139351693882,902.2899712918854,9.16556745128939,1487.833573444914,13.14838321279319,100.64117970004149,1.2002973280905098
MYS_09_02,1,100.75,5.25,2,9,True,259.19428554288623,2.6433982489889494,900.9743742389941,9.15220346198368,1417.9733759529495,12.531009963297976,213.4044792094293,2.5451691540288963
